INFO 2022-11-06 17:06:33 {'user': 'gregory.faupin', 'cart': 4946, 'order': 483, 'produit': 1197, 'action': 'Create', 'field': 'prix', 'old_data': '', 'new_data': 5.0}
INFO 2022-11-06 17:14:00 {'user': 'gregory.faupin', 'cart': 4949, 'order': 486, 'produit': 325, 'action': 'Create', 'field': 'qte', 'old_data': '', 'new_data': 2}
INFO 2022-11-06 17:14:00 {'user': 'gregory.faupin', 'cart': 4949, 'order': 486, 'produit': 325, 'action': 'Create', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-06 17:14:00 {'user': 'gregory.faupin', 'cart': 4950, 'order': 486, 'produit': 786, 'action': 'Create', 'field': 'qte', 'old_data': '', 'new_data': 1}
INFO 2022-11-06 17:14:00 {'user': 'gregory.faupin', 'cart': 4950, 'order': 486, 'produit': 786, 'action': 'Create', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-06 17:14:00 {'user': 'gregory.faupin', 'cart': 4951, 'order': 486, 'produit': 1236, 'action': 'Create', 'field': 'qte', 'old_data': '', 'new_data': 1}
INFO 2022-11-06 17:14:00 {'user': 'gregory.faupin', 'cart': 4951, 'order': 486, 'produit': 1236, 'action': 'Create', 'field': 'prix', 'old_data': '', 'new_data': 5.0}
INFO 2022-11-06 17:16:22 {'user': 'gregory.faupin', 'cart': 4951, 'order': 486, 'produit': 1236, 'action': 'Update', 'field': 'qte', 'old_data': 1, 'new_data': 2}
INFO 2022-11-06 17:19:31 {'user': 'gregory.faupin', 'cart': 4952, 'order': 39, 'produit': 487, 'action': 'Add', 'field': 'qte', 'old_data': 0, 'new_data': 1}
INFO 2022-11-06 17:19:31 {'user': 'gregory.faupin', 'cart': 4952, 'order': 39, 'produit': 487, 'action': 'Add', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-07 20:21:56 {'user': 'gregory.faupin', 'cart': 4953, 'order': 481, 'produit': 1195, 'action': 'Add', 'field': 'qte', 'old_data': 0, 'new_data': 4}
INFO 2022-11-07 20:21:56 {'user': 'gregory.faupin', 'cart': 4953, 'order': 481, 'produit': 1195, 'action': 'Add', 'field': 'prix', 'old_data': '', 'new_data': 5.0}
INFO 2022-11-07 20:22:11 {'user': 'gregory.faupin', 'cart': 4953, 'order': 481, 'produit': 1195, 'action': 'Update', 'field': 'qte', 'old_data': 4, 'new_data': 6}
INFO 2022-11-07 20:22:23 {'user': 'gregory.faupin', 'cart': 4954, 'order': 481, 'produit': 1197, 'action': 'Add', 'field': 'qte', 'old_data': 0, 'new_data': 3}
