INFO 2022-11-06 16:32:12 {'user': 'gregory.faupin', 'produit': 1176, 'order': 474, 'action': 'Add', 'field': 'sb', 'old_data': 4, 'new_data': 1}
INFO 2022-11-06 16:32:25 {'user': 'gregory.faupin', 'produit': 325, 'order': 474, 'action': 'Add', 'field': 'sb', 'old_data': 4, 'new_data': 2}
INFO 2022-11-06 16:32:44 {'user': 'gregory.faupin', 'produit': 328, 'order': 474, 'action': 'Add', 'field': 'sb', 'old_data': 2, 'new_data': 0}
INFO 2022-11-06 16:33:01 {'user': 'gregory.faupin', 'produit': 337, 'order': 474, 'action': 'Add', 'field': 'sb', 'old_data': 1, 'new_data': 0}
INFO 2022-11-06 16:33:13 {'user': 'gregory.faupin', 'produit': 353, 'order': 474, 'action': 'Add', 'field': 'sb', 'old_data': 1, 'new_data': 0}
INFO 2022-11-06 16:33:33 {'user': 'gregory.faupin', 'produit': 351, 'order': 474, 'action': 'Add', 'field': 'sb', 'old_data': 6, 'new_data': 0}
INFO 2022-11-06 16:36:22 {'user': 'gregory.faupin', 'produit': 1176, 'order': 356, 'action': 'Add', 'field': 'sb', 'old_data': 1, 'new_data': 0}
INFO 2022-11-06 16:36:45 {'user': 'gregory.faupin', 'produit': 256, 'order': 356, 'action': 'Add', 'field': 'sb', 'old_data': 5, 'new_data': 4}
INFO 2022-11-06 16:36:56 {'user': 'gregory.faupin', 'produit': 258, 'order': 356, 'action': 'Add', 'field': 'sb', 'old_data': 6, 'new_data': 5}
INFO 2022-11-06 16:37:09 {'user': 'gregory.faupin', 'produit': 269, 'order': 356, 'action': 'Update', 'field': 'sb', 'old_data': 21, 'new_data': 19}
INFO 2022-11-06 16:47:03 {'user': 'gregory.faupin', 'produit': 262, 'order': 481, 'action': 'Create', 'field': 'sb', 'old_data': 7, 'new_data': 6}
INFO 2022-11-06 16:47:03 {'user': 'gregory.faupin', 'produit': 1219, 'order': 481, 'action': 'Create', 'field': 'sb', 'old_data': 2, 'new_data': 1}
INFO 2022-11-06 16:47:03 {'user': 'gregory.faupin', 'produit': 269, 'order': 481, 'action': 'Create', 'field': 'sb', 'old_data': 19, 'new_data': 17}
INFO 2022-11-06 16:47:03 {'user': 'gregory.faupin', 'produit': 259, 'order': 481, 'action': 'Create', 'field': 'sb', 'old_data': 3, 'new_data': 1}
INFO 2022-11-06 16:47:03 {'user': 'gregory.faupin', 'produit': 695, 'order': 481, 'action': 'Create', 'field': 'sb', 'old_data': 1, 'new_data': 0}
INFO 2022-11-06 16:55:12 {'user': 'gregory.faupin', 'produit': 708, 'order': 482, 'action': 'Create', 'field': 'sb', 'old_data': 2, 'new_data': 1}
INFO 2022-11-06 16:55:12 {'user': 'gregory.faupin', 'produit': 384, 'order': 482, 'action': 'Create', 'field': 'sb', 'old_data': 3, 'new_data': 2}
INFO 2022-11-06 16:55:12 {'user': 'gregory.faupin', 'produit': 460, 'order': 482, 'action': 'Create', 'field': 'sb', 'old_data': 2, 'new_data': 1}
INFO 2022-11-06 17:06:32 {'user': 'gregory.faupin', 'produit': 952, 'order': 483, 'action': 'Create', 'field': 'sb', 'old_data': 1, 'new_data': 0}
INFO 2022-11-06 17:06:33 {'user': 'gregory.faupin', 'produit': 268, 'order': 483, 'action': 'Create', 'field': 'sb', 'old_data': 12, 'new_data': 11}
INFO 2022-11-06 17:06:33 {'user': 'gregory.faupin', 'produit': 1195, 'order': 483, 'action': 'Create', 'field': 'sb', 'old_data': 74, 'new_data': 72}
INFO 2022-11-06 17:06:33 {'user': 'gregory.faupin', 'produit': 1197, 'order': 483, 'action': 'Create', 'field': 'sb', 'old_data': 28, 'new_data': 27}
INFO 2022-11-06 17:14:00 {'user': 'gregory.faupin', 'produit': 325, 'order': 486, 'action': 'Create', 'field': 'sb', 'old_data': 2, 'new_data': 0}
INFO 2022-11-06 17:14:00 {'user': 'gregory.faupin', 'produit': 786, 'order': 486, 'action': 'Create', 'field': 'sb', 'old_data': 1, 'new_data': 0}
INFO 2022-11-06 17:14:00 {'user': 'gregory.faupin', 'produit': 1236, 'order': 486, 'action': 'Create', 'field': 'sb', 'old_data': 40, 'new_data': 39}
INFO 2022-11-06 17:14:20 {'user': 'gregory.faupin', 'produit': 332, 'order': 484, 'action': 'Cancel', 'field': 'sp', 'old_data': 2, 'new_data': 1}
INFO 2022-11-06 17:14:30 {'user': 'gregory.faupin', 'produit': 332, 'order': 485, 'action': 'Cancel', 'field': 'sp', 'old_data': 1, 'new_data': 0}
INFO 2022-11-06 17:16:22 {'user': 'gregory.faupin', 'produit': 1236, 'order': 486, 'action': 'Update', 'field': 'sb', 'old_data': 39, 'new_data': 38}
INFO 2022-11-06 17:17:58 {'user': 'gregory.faupin', 'produit': 960, 'order': 39, 'action': 'Encours', 'field': 'sf', 'old_data': 0, 'new_data': 1}
INFO 2022-11-06 17:17:58 {'user': 'gregory.faupin', 'produit': 1021, 'order': 39, 'action': 'Encours', 'field': 'sf', 'old_data': 36, 'new_data': 37}
INFO 2022-11-06 17:17:58 {'user': 'gregory.faupin', 'produit': 329, 'order': 39, 'action': 'Encours', 'field': 'sf', 'old_data': 17, 'new_data': 18}
INFO 2022-11-06 17:17:58 {'user': 'gregory.faupin', 'produit': 483, 'order': 39, 'action': 'Encours', 'field': 'sf', 'old_data': 3, 'new_data': 4}
INFO 2022-11-06 17:17:58 {'user': 'gregory.faupin', 'produit': 459, 'order': 39, 'action': 'Encours', 'field': 'sf', 'old_data': 0, 'new_data': 1}
INFO 2022-11-06 17:17:58 {'user': 'gregory.faupin', 'produit': 940, 'order': 39, 'action': 'Encours', 'field': 'sf', 'old_data': 150, 'new_data': 151}
INFO 2022-11-06 17:17:58 {'user': 'gregory.faupin', 'produit': 945, 'order': 39, 'action': 'Encours', 'field': 'sf', 'old_data': 6, 'new_data': 7}
INFO 2022-11-06 17:19:31 {'user': 'gregory.faupin', 'produit': 487, 'order': 39, 'action': 'Add', 'field': 'sb', 'old_data': 2, 'new_data': 1}
INFO 2022-11-06 17:21:27 {'user': 'gregory.faupin', 'produit': 960, 'order': 39, 'action': 'Cancel', 'field': 'sb', 'old_data': 0, 'new_data': 1}
INFO 2022-11-06 17:21:27 {'user': 'gregory.faupin', 'produit': 1021, 'order': 39, 'action': 'Cancel', 'field': 'sb', 'old_data': 0, 'new_data': 1}
INFO 2022-11-06 17:21:27 {'user': 'gregory.faupin', 'produit': 329, 'order': 39, 'action': 'Cancel', 'field': 'sb', 'old_data': 0, 'new_data': 1}
INFO 2022-11-06 17:21:27 {'user': 'gregory.faupin', 'produit': 483, 'order': 39, 'action': 'Cancel', 'field': 'sb', 'old_data': 0, 'new_data': 1}
INFO 2022-11-06 17:21:27 {'user': 'gregory.faupin', 'produit': 459, 'order': 39, 'action': 'Cancel', 'field': 'sb', 'old_data': 0, 'new_data': 1}
INFO 2022-11-06 17:21:27 {'user': 'gregory.faupin', 'produit': 940, 'order': 39, 'action': 'Cancel', 'field': 'sb', 'old_data': 120, 'new_data': 121}
INFO 2022-11-06 17:21:27 {'user': 'gregory.faupin', 'produit': 945, 'order': 39, 'action': 'Cancel', 'field': 'sb', 'old_data': 0, 'new_data': 1}
INFO 2022-11-06 17:21:27 {'user': 'gregory.faupin', 'produit': 487, 'order': 39, 'action': 'Cancel', 'field': 'sb', 'old_data': 1, 'new_data': 2}
INFO 2022-11-07 20:21:56 {'user': 'gregory.faupin', 'produit': 1195, 'order': 481, 'action': 'Add', 'field': 'sb', 'old_data': 72, 'new_data': 68}
INFO 2022-11-07 20:22:11 {'user': 'gregory.faupin', 'produit': 1195, 'order': 481, 'action': 'Update', 'field': 'sb', 'old_data': 68, 'new_data': 66}
INFO 2022-11-07 20:22:23 {'user': 'gregory.faupin', 'produit': 1197, 'order': 481, 'action': 'Add', 'field': 'sb', 'old_data': 27, 'new_data': 24}
INFO 2022-11-07 20:22:35 {'user': 'gregory.faupin', 'produit': 1236, 'order': 481, 'action': 'Add', 'field': 'sb', 'old_data': 38, 'new_data': 35}
INFO 2022-11-07 20:25:41 {'user': 'gregory.faupin', 'produit': 735, 'order': 487, 'action': 'Create', 'field': 'sb', 'old_data': 9, 'new_data': 8}
INFO 2022-11-07 20:25:41 {'user': 'gregory.faupin', 'produit': 1230, 'order': 487, 'action': 'Create', 'field': 'sb', 'old_data': 2, 'new_data': 1}
INFO 2022-11-07 20:32:48 {'user': 'gregory.faupin', 'produit': 1216, 'order': 471, 'action': 'Add', 'field': 'sb', 'old_data': 5, 'new_data': 4}
INFO 2022-11-07 20:32:58 {'user': 'gregory.faupin', 'produit': 735, 'order': 471, 'action': 'Add', 'field': 'sb', 'old_data': 8, 'new_data': 7}
INFO 2022-11-07 20:33:15 {'user': 'gregory.faupin', 'produit': 727, 'order': 471, 'action': 'Add', 'field': 'sb', 'old_data': 2, 'new_data': 1}
INFO 2022-11-07 20:33:26 {'user': 'gregory.faupin', 'produit': 751, 'order': 471, 'action': 'Add', 'field': 'sb', 'old_data': 3, 'new_data': 2}
